,0
0,1.0
1,2.0
2,3.0
3,4.0
4,5.0
5,6.0
6,7.0
7,8.0
8,9.0
9,10.0
10,11.0
11,12.0
12,13.0
13,14.0
14,15.0
15,16.0
16,17.0
17,18.0
18,19.0
19,20.0
20,21.0
21,22.0
22,23.0
23,24.0
24,25.0
25,26.0
26,27.0
27,28.0
28,29.0
29,30.0
30,31.0
31,32.0
32,33.0
33,34.0
34,35.0
35,36.0
36,37.0
37,38.0
38,39.0
39,40.0
40,41.0
41,42.0
42,43.0
43,44.0
44,45.0
45,46.0
46,47.0
47,48.0
48,49.0
49,50.0
50,51.0
51,52.0
52,53.0
53,54.0
54,55.0
55,56.0
56,57.0
57,58.0
58,59.0
59,60.0
60,61.0
61,62.0
62,63.0
63,64.0
64,65.0
65,66.0
66,67.0
67,68.0
68,69.0
69,70.0
70,71.0
71,72.0
72,73.0
73,74.0
74,75.0
75,76.0
76,77.0
77,78.0
78,79.0
79,80.0
80,81.0
81,82.0
82,83.0
83,84.0
84,85.0
85,86.0
86,87.0
87,88.0
88,89.0
89,90.0
90,91.0
91,92.0
92,93.0
93,94.0
94,95.0
95,96.0
96,97.0
97,98.0
98,99.0
99,100.0
100,101.0
101,102.0
102,103.0
103,104.0
104,105.0
105,106.0
106,107.0
107,108.0
108,109.0
109,110.0
110,111.0
111,112.0
112,113.0
113,114.0
114,115.0
115,116.0
116,117.0
117,118.0
118,119.0
119,120.0
120,121.0
121,122.0
122,123.0
123,124.0
124,125.0
125,126.0
126,127.0
127,128.0
128,129.0
129,12.0
130,13.0
131,14.0
132,15.0
133,16.0
134,17.0
135,18.0
136,11.0
137,12.0
138,13.0
139,11.0
140,12.0
141,13.0
142,14.0
143,12.0
144,13.0
145,14.0
146,12.0
147,13.0
148,14.0
149,11.0
150,12.0
151,13.0
152,14.0
153,15.0
154,11.0
155,12.0
156,13.0
157,14.0
158,12.0
159,13.0
160,11.0
161,12.0
162,13.0
163,14.0
164,11.0
165,12.0
166,13.0
167,14.0
168,12.0
169,13.0
170,14.0
171,11.0
172,12.0
173,13.0
174,14.0
175,15.0
176,13.0
177,14.0
178,15.0
179,11.0
180,12.0
181,13.0
182,14.0
183,12.0
184,13.0
185,11.0
186,12.0
187,13.0
188,14.0
189,11.0
190,12.0
191,13.0
192,14.0
193,11.0
194,12.0
195,13.0
196,14.0
197,11.0
198,12.0
199,13.0
200,14.0
201,15.0
202,11.0
203,12.0
204,13.0
205,14.0
206,12.0
207,13.0
208,11.0
209,12.0
210,13.0
211,11.0
212,12.0
213,13.0
214,14.0
215,11.0
216,12.0
217,13.0
218,14.0
219,11.0
220,12.0
221,13.0
222,14.0
223,15.0
224,11.0
225,12.0
226,13.0
227,11.0
228,12.0
229,11.0
230,12.0
231,13.0
232,14.0
233,12.0
234,13.0
235,14.0
236,15.0
237,11.0
238,12.0
239,13.0
240,13.0
241,13.0
242,14.0
243,10.0
244,11.0
245,12.0
246,13.0
247,12.0
248,13.0
249,14.0
250,15.0
251,12.0
252,13.0
253,14.0
254,11.0
255,12.0
256,13.0
257,12.0
258,13.0
259,14.0
260,12.0
261,13.0
262,14.0
